PWN02,2677964.0712,1226913.3129,413.0591
PWN03,2677973.6274,1226909.4461,414.8056
PW09,2677872.2249,1226964.3163,424.7840
PW10,2677869.4754,1226958.1389,424.7701
PW08,2677869.1127,1226957.7731,428.9970
PW01,2677865.6041,1226954.0619,431.7704
PW02,2677865.7236,1226953.8163,430.2665
PW03,2677869.3697,1226962.0699,429.3828
PW04,2677869.2383,1226962.1794,430.6575
PW05,2677867.1385,1226953.2893,428.6860
PW06,2677870.7144,1226961.1657,428.5750
PW07,2677872.0259,1226963.9172,428.0330
PWS01,2677956.5629,1226904.1897,421.8393
PWS02,2677957.5184,1226906.0915,420.6165
PWS03,2677958.7578,1226906.0863,419.6676
PWS05,2677957.5973,1226906.9849,418.3619
PWS10,2677966.2117,1226900.8346,421.1151
KP01,2677961.4104,1226926.2702,421.9259
KP02,2677957.5668,1226927.8824,421.9317
KP03,2677959.1703,1226931.7382,421.9473
KP04,2677963.0128,1226930.1225,421.9551
NWS1.1,2677862.1308,1226941.5232,435.4657
NWS1.2,2677863.8931,1226945.3985,432.4859
NWS2.1,2677871.4498,1226938.6041,434.0357
NWS2.2,2677873.0012,1226941.5762,431.4148
NWS3.1,2677899.6735,1226927.6855,429.8005
NWS3.2,2677900.9103,1226930.3341,427.7909
NWS3.3,2677901.1955,1226931.2406,425.8420
NWS3.4,2677902.8643,1226934.7566,425.2084
NWS4.1,2677926.7859,1226914.7700,426.9213
NWS4.2,2677928.2988,1226918.5822,425.2737
NWS4.3,2677928.4352,1226919.4387,423.3203
NWS4.4,2677930.0104,1226922.9110,423.0106
NWN1.1,2677875.7468,1226971.8655,431.3283
NWN2.1,2677884.2685,1226966.6609,430.2200
NWN3.1,2677911.5602,1226953.9042,427.6195
NWN4.1,2677939.0205,1226941.7931,425.2610
NWN1.2,2677874.6306,1226968.7346,428.8356
NWN1.3,2677874.4383,1226968.3323,427.8941
NWN2.2,2677883.3525,1226964.8724,428.2717
NWN2.3,2677883.1249,1226964.4104,427.3054
NWN3.2,2677910.8552,1226952.5174,425.9029
NWN3.3,2677910.5003,1226951.8777,424.9042
NWN3.4,2677909.2680,1226949.2107,424.5673
NWN4.2,2677938.1373,1226940.3519,423.7368
NWN4.3,2677937.7874,1226939.7016,422.6003
NWN4.4,2677936.4239,1226936.8576,422.1943
NWS2.3,2677873.4509,1226943.0206,428.4355
NWN2.4,2677881.7819,1226961.7046,426.8172
NWS1.3,2677864.4660,1226946.8670,429.2104
NWS1.4,2677866.4532,1226950.3694,428.4804
NWS2.4,2677874.9397,1226946.8662,427.6708
NWN1.4,2677873.4294,1226965.6118,427.6675
PW11,2677866.5361,1226951.4375,424.7592
NWS2.5,2677875.0812,1226947.2406,424.6423
NWS3.5,2677902.9347,1226935.0951,422.3728
NWS4.5,2677930.1303,1226923.2545,420.1286
NWN3.5,2677909.1183,1226948.9762,422.3676
